sigma,alpha,n_train,truth,mean_stoploss,p05_stoploss,p95_stoploss,bias_stoploss,rmse_stoploss,mean_plugin_ru,p05_plugin_ru,p95_plugin_ru,bias_plugin_ru,rmse_plugin_ru
0.0,0.05,5000,0.21500819853676897,0.21481082976318602,0.21299776497977674,0.21651779332747545,-0.00019736877358295102,0.0011043240910440935,0.21481106008484907,0.212997841460596,0.21651794303661312,-0.00019713845191990376,0.0011042971826981873
0.02,0.05,5000,0.20849587150117674,0.20783039629105093,0.2052574030683135,0.2102346036211226,-0.0006654752101258044,0.001640353433980202,0.2138836487573639,0.21116625507200962,0.21655575089360218,0.005387777256187165,0.005622596111006118
0.04,0.05,5000,0.1923419991357045,0.19157027263366036,0.18757494226200772,0.1956132871892563,-0.0007717265020441288,0.0025352389389671436,0.21357733180068195,0.20902056251454582,0.2180545314169591,0.021235332664977458,0.02140897676359707
0.06,0.05,5000,0.17113138845397655,0.17063703595970117,0.1651431046891923,0.17606249138342184,-0.0004943524942753741,0.0034350764228267406,0.2125854379965865,0.20637598646714392,0.21855238233758173,0.04145404954260995,0.04162409517422031
0.08,0.05,5000,0.1468605472633947,0.14658881077749822,0.14001938218955218,0.1528554708465663,-0.00027173648589648436,0.003981160860640638,0.21250062770667738,0.20405965365563394,0.22055111767859498,0.06564008044328268,0.06583348093689932
0.1,0.05,5000,0.12100329851366351,0.12083779400318227,0.11260863736636924,0.1281888105898869,-0.0001655045104812375,0.004607328707868468,0.21178469253262688,0.20234765179422368,0.2214964977278984,0.09078139401896337,0.09098412686700708
0.12,0.05,5000,0.09513313794550646,0.0951946988594505,0.08730158296685588,0.10303444150875345,6.156091394404761e-05,0.004905698769777988,0.21271571474172518,0.20219722340337937,0.22333627127564615,0.11758257679621872,0.117756066012439
0.14,0.05,5000,0.0706445231586771,0.07118136204190183,0.06356409893708449,0.07969042933743732,0.0005368388832247273,0.005016550991611316,0.21391486034354354,0.20119779340130717,0.2254741622442001,0.14327033718486643,0.1434579234363428
0.16,0.05,5000,0.04869954260340449,0.04884758791840254,0.040734016512509665,0.05726910607261564,0.0001480453149980479,0.005088554784164214,0.21578767512568803,0.20251080199768828,0.2311619367925775,0.16708813252228355,0.16731540309870988
0.18,0.05,5000,0.030160569812409083,0.030091039950297757,0.023934263699813153,0.03798334544657119,-6.95298621113255e-05,0.004163187621102662,0.21844090604003744,0.20156299678852285,0.23413246006205196,0.18828033622762835,0.18853309981768795
0.2,0.05,5000,0.015670699315756417,0.015676903580016714,0.01078140004218814,0.021486889898962875,6.20426426029691e-06,0.0032896020000876868,0.22233503589794637,0.20647694158596577,0.239159919533725,0.20666433658218997,0.2068895068136779
0.0,0.1,5000,0.23001803856734768,0.22963095254342544,0.2269398577211341,0.23235079486313415,-0.000387086023922234,0.001679391555757671,0.22963107169337205,0.22693986717520337,0.23235079493072533,-0.00038696687397563045,0.001679357106207723
0.02,0.1,5000,0.22667976641666115,0.22634869326630758,0.2233153640763725,0.22934047952415515,-0.000331073150353578,0.0018731282442749889,0.2294868606880275,0.22641003292235198,0.23259095063193716,0.002807094271366356,0.003360899545623156
0.04,0.1,5000,0.21696681777819354,0.21685779368919256,0.21304124792144427,0.22055124658086894,-0.00010902408900098637,0.002263782109645796,0.22932704713799448,0.22581947152933882,0.23292225509113415,0.01236022935980094,0.012561851926795448
0.06,0.1,5000,0.20246734184761458,0.20197965889773264,0.19781210428066118,0.20632094065708545,-0.00048768294988194016,0.0027424132653955675,0.2285481602817816,0.22384294647574446,0.2334210488671891,0.026080818434167014,0.026245751099348576
0.08,0.1,5000,0.1847264972139678,0.18451735910528783,0.17889540771708531,0.18998902859304692,-0.00020913810867997928,0.003451318544567101,0.2287330578785049,0.22255882454266246,0.23484718885924571,0.04400656066453709,0.04416963367131251
0.1,0.1,5000,0.16489328642631018,0.16457986783831138,0.15818448707798607,0.17116355412657072,-0.0003134185879987983,0.003987084814018228,0.22863530126026035,0.22136983474606584,0.23636044132226963,0.06374201483395017,0.06391745538248926
0.12,0.1,5000,0.1440186405488197,0.14377629170749887,0.13659298008144063,0.15038012605560117,-0.0002423488413208219,0.0042913435430745415,0.22893117188410209,0.21995033622846666,0.2369008317459319,0.0849125313352824,0.08508222138112193
0.14,0.1,5000,0.12299095242947433,0.12333765154410381,0.11646235635227632,0.13065010270884428,0.00034669911462947844,0.004507917979915733,0.23060210259303268,0.2213656382990034,0.23988533617734215,0.10761115016355835,0.10776341739987025
0.16,0.1,5000,0.10252789174871832,0.10226862667061294,0.09485154265600781,0.109710254988076,-0.0002592650781053779,0.004525138346558594,0.23211208776723913,0.2208273420017014,0.24323770837057113,0.1295841960185208,0.12975771271781844
0.18,0.1,5000,0.0831620928835377,0.08297899178111617,0.07541790273884516,0.09063047095999832,-0.00018310110242152067,0.004706794302775619,0.2356234060020914,0.2242299816080001,0.24764505069493023,0.1524613131185537,0.15263007846025525
0.2,0.1,5000,0.06530158753859018,0.06563175839988025,0.05852109378491175,0.07300332395896175,0.00033017086129007167,0.004496177385409437,0.23944841198200717,0.2272052894045964,0.2519033881233875,0.174146824443417,0.1743240470084366
0.0,0.25,5000,0.275010598862867,0.2748745718237956,0.2711207412389049,0.27864837735989756,-0.0001360270390713958,0.0022516907096466997,0.27487462110069705,0.2711207424749652,0.2786484882694043,-0.00013597776216994761,0.0022516811902587386
0.02,0.25,5000,0.27367478348534435,0.2734252343615408,0.26983182861030036,0.277255836181724,-0.00024954912380353855,0.0022904045837719763,0.2746886912780865,0.27108152311582323,0.27846086478379667,0.0010139077927421303,0.002502288428443528
0.04,0.25,5000,0.2696686638069543,0.26942353186712537,0.26522572401385214,0.27363575361400433,-0.00024513193982894643,0.0026024543495862217,0.2745878254747451,0.2704712175470796,0.27884100691721514,0.004919161667790772,0.005569190483355585
0.06,0.25,5000,0.26301304807591697,0.2628745105333037,0.258711253743387,0.26705412512523785,-0.00013853754261328177,0.0026490092217850486,0.2745593772800474,0.2702559712580139,0.2789579183612642,0.011546329204130457,0.011865988202742012
0.08,0.25,5000,0.2538662381324183,0.2536802466769948,0.2488242005646621,0.2588019142297733,-0.00018599145542352868,0.0031083449195060983,0.2744116798495247,0.26930874469728394,0.2799370206106913,0.020545441717106372,0.02079204218782599
0.1,0.25,5000,0.2426370188616627,0.24259246731005868,0.23698829868634044,0.24826155932071786,-4.455155160401625e-05,0.0034198697267785096,0.2744836369922259,0.2684630902924988,0.28036735320781264,0.03184661813056319,0.0320450508816848
0.12,0.25,5000,0.2298624658571146,0.23000816149158324,0.2240118773315647,0.23607407847134537,0.00014569563446864553,0.0038845345992899035,0.2749473526192687,0.2684596323195577,0.2814764726612765,0.045084886762154136,0.045264017400856026
0.14,0.25,5000,0.21603117389334264,0.21624145420542937,0.209407237090129,0.22274582037470225,0.0002102803120867247,0.004171696260789418,0.2757369317290534,0.2685241660707449,0.28297319332730236,0.05970575783571075,0.0598719584585968
0.16,0.25,5000,0.20155981955344174,0.20167100037080893,0.19507445390065647,0.20923955020687732,0.00011118081736719021,0.0043752241161398595,0.2772887926268246,0.2693878659756164,0.2858185575527652,0.07572897307338286,0.07588568670508569
0.18,0.25,5000,0.1867931890915704,0.1867361008448823,0.17992710024361502,0.19319999206998167,-5.708824668809731e-05,0.00422448490625289,0.2792236175919358,0.2715037724347154,0.28701415804835606,0.09243042850036542,0.09256016087076369
0.2,0.25,5000,0.1720075496581148,0.17168125342566912,0.16444373014019834,0.17846945907808945,-0.0003262962324456775,0.004272392820988985,0.2816604729179027,0.2731806688478378,0.28992937918316564,0.1096529232597879,0.10977652932516055
